,arch_name,arch,config,Num_conv,Num_denses,Num_pooling,Num_normalization,Num_droputs,KW,Filters,drop_ratio,num_simulation,folder,metric_presets,tags,accuracy,precision,recall,f1_score,roc_auc
0,architecture_3conv_3dense_1,"['C', 'C', 'C', 'flatten', 'F', 'F', 'F', '2048', '1025', '2']",config1,3,3,0,0,0,50_cte,16_cte,0.5_cte,sim_1,fold_2,['ClassificationPreset'],"['N_None', 'P_None', 'D_None', 'KW#50_cte', 'F#16_cte', 'RD#0.5_cte']",0.65,0.6097560975609756,0.8333333333333334,0.7042253521126761,0.7255555555555555
1,architecture_3conv_3dense_1,"['C', 'C', 'C', 'flatten', 'F', 'F', 'F', '2048', '1025', '2']",config2,3,3,0,0,0,5_cte,16_cte,0.5_cte,sim_2,fold_4,['ClassificationPreset'],"['N_None', 'P_None', 'D_None', 'KW#5_cte', 'F#16_cte', 'RD#0.5_cte']",0.65,0.6097560975609756,0.8333333333333334,0.7042253521126761,0.7255555555555555
2,architecture_3conv_3dense_2,"['C', 'C', 'C', 'N', 'flatten', 'F', 'F', 'F', '2048', '1025', '2']",config1,3,3,0,1,0,50_cte,16_cte,0.5_cte,sim_5,fold_1,['ClassificationPreset'],"['N_Parcial', 'P_None', 'D_None', 'KW#50_cte', 'F#16_cte', 'RD#0.5_cte']",0.48333333333333334,0.49122807017543857,0.9333333333333333,0.6436781609195402,0.45111111111111113
3,architecture_3conv_3dense_2,"['C', 'C', 'C', 'N', 'flatten', 'F', 'F', 'F', '2048', '1025', '2']",config2,3,3,0,1,0,5_cte,16_cte,0.5_cte,sim_9,fold_3,['ClassificationPreset'],"['N_Parcial', 'P_None', 'D_None', 'KW#5_cte', 'F#16_cte', 'RD#0.5_cte']",0.48333333333333334,0.49122807017543857,0.9333333333333333,0.6436781609195402,0.45111111111111113
4,architecture_3conv_3dense_3,"['C', 'N', 'C', 'N', 'C', 'N', 'flatten', 'F', 'F', 'F', '2048', '1025', '2']",config1,3,3,0,3,0,50_cte,16_cte,0.5_cte,sim_9,fold_2,['ClassificationPreset'],"['N_Full', 'P_None', 'D_None', 'KW#50_cte', 'F#16_cte', 'RD#0.5_cte']",0.48333333333333334,0.49122807017543857,0.9333333333333333,0.6436781609195402,0.45111111111111113
5,architecture_3conv_3dense_3,"['C', 'N', 'C', 'N', 'C', 'N', 'flatten', 'F', 'F', 'F', '2048', '1025', '2']",config2,3,3,0,3,0,5_cte,16_cte,0.5_cte,sim_8,fold_5,['ClassificationPreset'],"['N_Full', 'P_None', 'D_None', 'KW#5_cte', 'F#16_cte', 'RD#0.5_cte']",0.48333333333333334,0.49122807017543857,0.9333333333333333,0.6436781609195402,0.45111111111111113
6,architecture_3conv_3dense_4,"['C', 'C', 'N', 'C', 'flatten', 'F', 'F', 'F', '2048', '1025', '2']",config1,3,3,0,1,0,50_cte,16_cte,0.5_cte,sim_1,fold_4,['ClassificationPreset'],"['N_Parcial', 'P_None', 'D_None', 'KW#50_cte', 'F#16_cte', 'RD#0.5_cte']",0.48333333333333334,0.49122807017543857,0.9333333333333333,0.6436781609195402,0.45111111111111113
7,architecture_3conv_3dense_4,"['C', 'C', 'N', 'C', 'flatten', 'F', 'F', 'F', '2048', '1025', '2']",config2,3,3,0,1,0,5_cte,16_cte,0.5_cte,sim_6,fold_1,['ClassificationPreset'],"['N_Parcial', 'P_None', 'D_None', 'KW#5_cte', 'F#16_cte', 'RD#0.5_cte']",0.48333333333333334,0.49122807017543857,0.9333333333333333,0.6436781609195402,0.45111111111111113
8,architecture_3conv_3dense_5,"['C', 'C', 'C', 'P', 'flatten', 'F', 'F', 'F', '2048', '1025', '2']",config1,3,3,1,0,0,50_cte,16_cte,0.5_cte,sim_1,fold_1,['ClassificationPreset'],"['N_None', 'P_Full', 'D_None', 'KW#50_cte', 'F#16_cte', 'RD#0.5_cte']",0.48333333333333334,0.49122807017543857,0.9333333333333333,0.6436781609195402,0.45111111111111113
9,architecture_3conv_3dense_5,"['C', 'C', 'C', 'P', 'flatten', 'F', 'F', 'F', '2048', '1025', '2']",config2,3,3,1,0,0,5_cte,16_cte,0.5_cte,sim_1,fold_4,['ClassificationPreset'],"['N_None', 'P_Full', 'D_None', 'KW#5_cte', 'F#16_cte', 'RD#0.5_cte']",0.48333333333333334,0.49122807017543857,0.9333333333333333,0.6436781609195402,0.45111111111111113
10,architecture_3conv_3dense_6,"['C', 'C', 'C', 'N', 'P', 'flatten', 'F', 'F', 'F', '2048', '1025', '2']",config1,3,3,1,1,0,50_cte,16_cte,0.5_cte,sim_1,fold_4,['ClassificationPreset'],"['N_Parcial', 'P_Full', 'D_None', 'KW#50_cte', 'F#16_cte', 'RD#0.5_cte']",0.48333333333333334,0.49122807017543857,0.9333333333333333,0.6436781609195402,0.45111111111111113
11,architecture_3conv_3dense_6,"['C', 'C', 'C', 'N', 'P', 'flatten', 'F', 'F', 'F', '2048', '1025', '2']",config2,3,3,1,1,0,5_cte,16_cte,0.5_cte,sim_9,fold_2,['ClassificationPreset'],"['N_Parcial', 'P_Full', 'D_None', 'KW#5_cte', 'F#16_cte', 'RD#0.5_cte']",0.48333333333333334,0.49122807017543857,0.9333333333333333,0.6436781609195402,0.45111111111111113
12,architecture_3conv_3dense_7,"['C', 'N', 'C', 'N', 'C', 'N', 'P', 'flatten', 'F', 'F', 'F', '2048', '1025', '2']",config1,3,3,1,3,0,50_cte,16_cte,0.5_cte,sim_1,fold_4,['ClassificationPreset'],"['N_Full', 'P_Full', 'D_None', 'KW#50_cte', 'F#16_cte', 'RD#0.5_cte']",0.48333333333333334,0.49122807017543857,0.9333333333333333,0.6436781609195402,0.45111111111111113
13,architecture_3conv_3dense_7,"['C', 'N', 'C', 'N', 'C', 'N', 'P', 'flatten', 'F', 'F', 'F', '2048', '1025', '2']",config2,3,3,1,3,0,5_cte,16_cte,0.5_cte,sim_10,fold_2,['ClassificationPreset'],"['N_Full', 'P_Full', 'D_None', 'KW#5_cte', 'F#16_cte', 'RD#0.5_cte']",0.48333333333333334,0.49122807017543857,0.9333333333333333,0.6436781609195402,0.45111111111111113
14,architecture_3conv_3dense_8,"['C', 'C', 'N', 'C', 'P', 'flatten', 'F', 'F', 'F', '2048', '1025', '2']",config1,3,3,1,1,0,50_cte,16_cte,0.5_cte,sim_1,fold_4,['ClassificationPreset'],"['N_Parcial', 'P_Full', 'D_None', 'KW#50_cte', 'F#16_cte', 'RD#0.5_cte']",0.48333333333333334,0.49122807017543857,0.9333333333333333,0.6436781609195402,0.45111111111111113
